EVT,Past,ACRES
Agricultural,Past Conifer,9619
Conifer,Past Conifer,394323
Conifer-Hardwood,Past Conifer,3222
Developed,Past Conifer,6845
Exotics,Past Conifer,21796
Grassland,Past Conifer,38155
Hardwood,Past Conifer,42290
Riparian,Past Conifer,12941
Shrubland,Past Conifer,224843
Agricultural,Past Grassland,39100
Conifer,Past Grassland,25244
Developed,Past Grassland,12490
Exotics,Past Grassland,27207
Grassland,Past Grassland,57638
Hardwood,Past Grassland,1814
Riparian,Past Grassland,2366
Shrubland,Past Grassland,132225
Agricultural,Past Hardwood,18586
Conifer,Past Hardwood,34337
Conifer-Hardwood,Past Hardwood,1291
Developed,Past Hardwood,2637
Exotics,Past Hardwood,4467
Grassland,Past Hardwood,10079
Hardwood,Past Hardwood,44774
Riparian,Past Hardwood,6362
Shrubland,Past Hardwood,57305
Agricultural,Past Hardwood-Conifer,56
Conifer,Past Hardwood-Conifer,9519
Conifer-Hardwood,Past Hardwood-Conifer,305
Developed,Past Hardwood-Conifer,120
Exotics,Past Hardwood-Conifer,53
Grassland,Past Hardwood-Conifer,1349
Hardwood,Past Hardwood-Conifer,4154
Riparian,Past Hardwood-Conifer,411
Shrubland,Past Hardwood-Conifer,3376
Agricultural,Past Riparian,737090
Conifer,Past Riparian,57131
Conifer-Hardwood,Past Riparian,614
Developed,Past Riparian,61142
Exotics,Past Riparian,33929
Grassland,Past Riparian,34443
Hardwood,Past Riparian,14674
Riparian,Past Riparian,497452
Shrubland,Past Riparian,563112
Agricultural,Past Shrubland,835596
Conifer,Past Shrubland,767571
Conifer-Hardwood,Past Shrubland,2331
Developed,Past Shrubland,370704
Exotics,Past Shrubland,740103
Grassland,Past Shrubland,847017
Hardwood,Past Shrubland,79385
Riparian,Past Shrubland,189793
Shrubland,Past Shrubland,24215114
